Date,Open,High,Low,Close,Volume
2/15/2006,712.1,718.9,696.5,701.8,7659167
2/16/2006,701.8,709.4,694.05,697.05,4058936
2/17/2006,703.0,707.5,690.0,693.15,4632076
2/20/2006,694.0,703.45,689.0,702.05,3226110
2/21/2006,702.05,706.0,694.3,697.75,3360389
2/22/2006,699.25,705.5,698.0,703.95,2935983
2/23/2006,705.0,706.85,695.05,700.35,6211541
2/24/2006,702.0,707.4,699.0,702.85,2401313
2/27/2006,703.0,705.85,697.0,700.1,5398936
2/28/2006,703.75,714.9,695.3,708.85,7720791
3/1/2006,708.0,713.9,702.1,708.25,4523549
3/2/2006,710.0,719.0,707.0,713.15,3821962
3/3/2006,715.0,718.0,708.25,715.75,4185425
3/6/2006,717.0,733.9,717.0,732.2,6130529
3/7/2006,733.3,740.0,729.0,732.5,5395169
3/8/2006,733.0,733.0,711.65,719.9,7028288
3/9/2006,724.0,728.7,711.5,726.75,4618646
3/10/2006,731.0,737.9,727.15,731.45,3455455
3/13/2006,731.5,741.25,731.0,735.35,3966001
3/14/2006,734.0,746.5,729.15,742.5,3737688
3/16/2006,745.0,770.0,742.5,768.5,8821809
3/17/2006,770.0,781.95,763.1,775.05,6390433
3/20/2006,776.7,780.0,770.5,778.05,2482378
3/21/2006,780.0,795.0,774.5,780.45,4370763
3/22/2006,782.95,786.5,758.6,772.5,5109676
3/23/2006,781.5,784.45,768.65,777.35,3868446
3/24/2006,776.0,785.0,776.0,782.2,2825935
3/27/2006,786.0,797.7,786.0,794.35,3052370
3/28/2006,795.0,797.0,787.6,790.85,1832302
3/29/2006,796.0,797.8,787.25,793.75,1847797
3/30/2006,796.0,806.9,788.0,795.7,3259099
3/31/2006,799.95,808.0,788.0,795.35,8352073
4/3/2006,801.0,833.0,801.0,828.8,5031936
4/4/2006,831.0,843.0,830.05,836.75,3929854
4/5/2006,843.0,845.0,835.0,840.5,4564004
4/7/2006,844.5,846.3,829.65,833.45,4241119
4/10/2006,833.0,841.7,824.15,836.25,4603751
4/12/2006,835.1,858.7,821.1,828.75,9379270
4/13/2006,830.0,852.9,827.2,846.5,8754381
4/17/2006,850.0,857.0,846.1,851.45,2983707
4/18/2006,853.8,895.75,853.8,891.3,8211163
4/19/2006,898.9,932.0,894.0,921.8,10659773
4/20/2006,935.0,999.7,935.0,992.55,14912419
4/21/2006,1000.0,1008.0,953.5,974.95,8650976
4/24/2006,975.0,999.5,966.0,977.2,6676696
4/25/2006,977.5,985.0,951.0,955.1,3524708
4/26/2006,960.0,982.0,952.15,978.65,4795378
4/27/2006,982.0,1050.0,982.0,997.95,9853311
4/28/2006,985.0,1011.0,971.0,1008.9,6259209
4/29/2006,1006.6,1030.0,1006.6,1022.95,1178831
5/2/2006,1025.0,1042.9,1024.0,1031.15,3045647
5/3/2006,1031.2,1042.0,1021.1,1035.55,2673389
5/4/2006,1042.0,1120.8,1040.0,1080.2,14186838
5/5/2006,1083.7,1109.0,1082.0,1099.25,5974599
5/8/2006,1115.0,1169.0,1112.0,1155.0,7762822
5/9/2006,1160.0,1169.7,1136.0,1154.1,7244226
5/10/2006,1160.0,1175.0,1137.25,1169.8,10202815
5/11/2006,1175.0,1184.4,1101.0,1110.25,12118649
5/12/2006,1120.55,1120.55,1057.0,1066.85,8558303
5/15/2006,1070.0,1070.0,1011.55,1021.65,9724804
5/16/2006,1024.95,1054.9,976.0,1043.7,12525373
5/17/2006,1069.2,1091.95,1055.0,1086.2,5845869
